120.5,232.5
125.5,245.5
127,281.1
127.5,251
127.5,277.5
130.5,203.5
131.73,268.4
132.5,209.5
132.5,236.5
132.5,257.5
135.83,288.5
135.5,209.5
138.09,274.18
137.5,184.5
138.5,278.83
138.5,268.5
139.5,265.5
141.5,256.5
141.5,260.5
141.5,300.5
142.5,267.5
144.5,234.5
147,221.5
147.5,248
149,252.5
150.56,206.89
150.5,233
152.5,285.5
155.5,279.75
156,291.5
161.61,274.61
161.5,285.5
162.5,288.5
165.5,302.5
167.73,204.27
166.5,270.5
169.5,267.5
172.1,282
178.5,274.5
182.2,266.3
184.88,284.13
184.5,287.5
188.55,330.55
189.8,246.5
189.5,295.5
191,305
193.13,236.88
193.5,308.5
196.5,283.5
199.3,221.8
199.47,279.06
204.14,296.21
205.08,331.58
205.5,200
206,291
208.5,313.5
209.5,318
212.5,313.5
212.5,317.5
215.5,288.5
219.91,309.55
222.5,272.5
224.5,254.5
225.5,287.5
227.5,253
233.13,300.73
231.5,281.5
233.5,316.5
234.5,297.5
236.5,305.5
238.44,316.11
241,263
240.5,323.5
242.69,307.08
242.5,284.5
250,285.5
249.5,303
250.5,71.5
251.5,317.5
255.21,296.36
259.5,290.5
260.5,303.5
261.5,99.5
264.92,323.15
263.5,339.5
266,337.1
265.5,289.5
269.5,319.5
270.5,337.5
273.5,317.86
274.5,256.5
275.5,253.5
283.5,311.5
286,303
286.82,311.91
288.5,273.5
298,105.5
297.5,303
302.5,98.5
302.5,102
